player,season,season_start,club,league,league_apps,league_goals,total_apps,total_goals,shots_per90,xg_per90,sb_goals_per90,sb_assists_per90,sb_pass_pct,passes_per90,league_goals_per_app
Andres Iniesta,2000–01,2000,Barcelona B,Segunda División B,10,0,10,0,,,,,,,0.0
Andres Iniesta,2001–02,2001,Barcelona B,Segunda División B,25,2,30,2,,,,,,,0.08
Andres Iniesta,2002–03,2002,Barcelona B,Segunda División B,14,3,14,3,,,,,,,0.21428571428571427
Andres Iniesta,2002–03,2002,Barcelona,La Liga,6,0,9,0,,,,,,,0.0
Andres Iniesta,2003–04,2003,Barcelona,La Liga,11,1,17,2,,,,,,,0.09090909090909091
Andres Iniesta,2004–05,2004,Barcelona,La Liga,37,2,46,2,,,,,,,0.05405405405405406
Andres Iniesta,2005–06,2005,Barcelona,La Liga,33,0,49,1,,,,,,,0.0
Andres Iniesta,2006–07,2006,Barcelona,La Liga,37,6,56,9,,,,,,,0.16216216216216217
Andres Iniesta,2007–08,2007,Barcelona,La Liga,31,3,49,4,,,,,,,0.0967741935483871
Andres Iniesta,2008–09,2008,Barcelona,La Liga,26,4,43,5,1.7164948453608249,0.14752577319587631,0.09278350515463918,0.23195876288659795,85.7,57.24742268041237,0.15384615384615385
Andres Iniesta,2009–10,2009,Barcelona,La Liga,29,1,42,1,1.0566037735849056,0.10339622641509434,0.03773584905660377,0.18867924528301888,86.3,54.41509433962264,0.034482758620689655
Andres Iniesta,2010–11,2010,Barcelona,La Liga,34,8,50,9,1.2148091014269187,0.09649055148476667,0.24296182028538374,0.1041264944080216,88.1,83.33590435788662,0.23529411764705882
Andres Iniesta,2011–12,2011,Barcelona,La Liga,27,2,46,8,1.7942908926144086,0.12396918894426824,0.04077933846850929,0.32623470774807434,88.2,61.86225645672859,0.07407407407407407
Andres Iniesta,2012–13,2012,Barcelona,La Liga,31,3,48,6,,,,,,,0.0967741935483871
Andres Iniesta,2013–14,2013,Barcelona,La Liga,35,3,52,3,,,,,,,0.08571428571428572
Andres Iniesta,2014–15,2014,Barcelona,La Liga,24,0,42,3,1.1162790697674418,0.06186046511627907,0.0,0.046511627906976744,89.0,67.44186046511628,0.0
Andres Iniesta,2015–16,2015,Barcelona,La Liga,28,1,44,1,,,,,,,0.03571428571428571
Andres Iniesta,2016–17,2016,Barcelona,La Liga,23,0,37,1,,,,,,,0.0
Andres Iniesta,2017–18,2017,Barcelona,La Liga,30,1,44,2,,,,,,,0.03333333333333333
Andres Iniesta,2018,2018,Vissel Kobe,J1 League,14,3,15,3,,,,,,,0.21428571428571427
Andres Iniesta,2019,2019,Vissel Kobe,J1 League,23,6,25,7,,,,,,,0.2608695652173913
Andres Iniesta,2020,2020,Vissel Kobe,J1 League,26,4,34,6,,,,,,,0.15384615384615385
Andres Iniesta,2021,2021,Vissel Kobe,J1 League,23,6,27,7,,,,,,,0.2608695652173913
Andres Iniesta,2022,2022,Vissel Kobe,J1 League,24,2,27,3,,,,,,,0.08333333333333333
Andres Iniesta,2023,2023,Vissel Kobe,J1 League,4,0,6,0,,,,,,,0.0
Andres Iniesta,2023–24,2023,Emirates,UAE Pro League,20,5,23,5,,,,,,,0.25
Zinedine Zidane,1988–89,1988,Cannes,Division 1,2,0,2,0,,,,,,,0.0
Zinedine Zidane,1989–90,1989,Cannes,Division 1,0,0,0,0,,,,,,,0.0
Zinedine Zidane,1990–91,1990,Cannes,Division 1,28,1,31,1,,,,,,,0.03571428571428571
Zinedine Zidane,1991–92,1991,Cannes,Division 1,31,5,38,5,,,,,,,0.16129032258064516
Zinedine Zidane,1992–93,1992,Bordeaux,Division 1,35,10,39,11,,,,,,,0.2857142857142857
Zinedine Zidane,1993–94,1993,Bordeaux,Division 1,34,6,43,8,,,,,,,0.17647058823529413
Zinedine Zidane,1994–95,1994,Bordeaux,Division 1,37,6,46,8,,,,,,,0.16216216216216217
Zinedine Zidane,1995–96,1995,Bordeaux,Division 1,33,6,51,12,,,,,,,0.18181818181818182
Zinedine Zidane,1996–97,1996,Juventus,Serie A,29,5,44,7,,,,,,,0.1724137931034483
Zinedine Zidane,1997–98,1997,Juventus,Serie A,32,7,49,11,,,,,,,0.21875
Zinedine Zidane,1998–99,1998,Juventus,Serie A,25,2,41,2,,,,,,,0.08
Zinedine Zidane,1999–2000,1999,Juventus,Serie A,32,4,41,5,,,,,,,0.125
Zinedine Zidane,2000–01,2000,Juventus,Serie A,33,6,39,6,,,,,,,0.18181818181818182
Zinedine Zidane,2001–02,2001,Real Madrid,La Liga,31,7,51,12,,,,,,,0.22580645161290322
Zinedine Zidane,2002–03,2002,Real Madrid,La Liga,33,9,50,12,,,,,,,0.2727272727272727
Zinedine Zidane,2003–04,2003,Real Madrid,La Liga,33,6,52,10,,,,,,,0.18181818181818182
Zinedine Zidane,2004–05,2004,Real Madrid,La Liga,29,6,40,6,,,,,,,0.20689655172413793
Zinedine Zidane,2005–06,2005,Real Madrid,La Liga,29,9,38,9,,,,,,,0.3103448275862069
