player,season,season_start,club,league_apps,league_goals,total_apps,total_goals,international_apps,international_goals,age_group
Andres Iniesta,2000–01,2000,Barcelona B,10,0,10,0,0,0,Early Career
Andres Iniesta,2001–02,2001,Barcelona B,25,2,30,2,0,0,Early Career
Andres Iniesta,2002–03,2002,Barcelona B,14,3,14,3,0,0,Early Career
Andres Iniesta,2002–03,2002,Barcelona,6,0,9,0,0,0,Early Career
Andres Iniesta,2003–04,2003,Barcelona,11,1,17,2,0,0,Early Career
Andres Iniesta,2004–05,2004,Barcelona,37,2,46,2,0,0,Early Career
Andres Iniesta,2005–06,2005,Barcelona,33,0,49,1,0,0,Early Career
Andres Iniesta,2006–07,2006,Barcelona,37,6,56,9,8,0,Early Career
Andres Iniesta,2007–08,2007,Barcelona,31,3,49,4,12,4,Peak
Andres Iniesta,2008–09,2008,Barcelona,26,4,43,5,14,1,Peak
Andres Iniesta,2009–10,2009,Barcelona,29,1,42,1,5,0,Peak
Andres Iniesta,2010–11,2010,Barcelona,34,8,50,9,15,3,Peak
Andres Iniesta,2011–12,2011,Barcelona,27,2,46,8,9,1,Peak
Andres Iniesta,2012–13,2012,Barcelona,31,3,48,6,14,1,Prime
Andres Iniesta,2013–14,2013,Barcelona,35,3,52,3,17,0,Prime
Andres Iniesta,2014–15,2014,Barcelona,24,0,42,3,8,1,Prime
Andres Iniesta,2015–16,2015,Barcelona,28,1,44,1,5,1,Prime
Andres Iniesta,2016–17,2016,Barcelona,23,0,37,1,8,0,Prime
Andres Iniesta,2017–18,2017,Barcelona,30,1,44,2,8,1,Veteran
Andres Iniesta,2018,2018,Vissel Kobe,14,3,15,3,8,0,Veteran
Andres Iniesta,2019,2019,Vissel Kobe,23,6,25,7,0,0,Veteran
Andres Iniesta,2020,2020,Vissel Kobe,26,4,34,6,0,0,Veteran
Andres Iniesta,2021,2021,Vissel Kobe,23,6,27,7,0,0,Veteran
Andres Iniesta,2022,2022,Vissel Kobe,24,2,27,3,0,0,Veteran
Andres Iniesta,2023,2023,Vissel Kobe,4,0,6,0,0,0,Veteran
Andres Iniesta,2023–24,2023,Emirates,20,5,23,5,0,0,Veteran
Zinedine Zidane,1988–89,1988,Cannes,2,0,2,0,0,0,Early Career
Zinedine Zidane,1989–90,1989,Cannes,0,0,0,0,0,0,Early Career
Zinedine Zidane,1990–91,1990,Cannes,28,1,31,1,0,0,Early Career
Zinedine Zidane,1991–92,1991,Cannes,31,5,38,5,0,0,Early Career
Zinedine Zidane,1992–93,1992,Bordeaux,35,10,39,11,0,0,Early Career
Zinedine Zidane,1993–94,1993,Bordeaux,34,6,43,8,0,0,Early Career
Zinedine Zidane,1994–95,1994,Bordeaux,37,6,46,8,2,2,Early Career
Zinedine Zidane,1995–96,1995,Bordeaux,33,6,51,12,6,2,Peak
Zinedine Zidane,1996–97,1996,Juventus,29,5,44,7,12,1,Peak
Zinedine Zidane,1997–98,1997,Juventus,32,7,49,11,8,1,Peak
Zinedine Zidane,1998–99,1998,Juventus,25,2,41,2,15,5,Peak
Zinedine Zidane,1999–2000,1999,Juventus,32,4,41,5,6,1,Peak
Zinedine Zidane,2000–01,2000,Juventus,33,6,39,6,13,4,Prime
Zinedine Zidane,2001–02,2001,Real Madrid,31,7,51,12,8,2,Prime
Zinedine Zidane,2002–03,2002,Real Madrid,33,9,50,12,9,1,Prime
Zinedine Zidane,2003–04,2003,Real Madrid,33,6,52,10,7,3,Prime
Zinedine Zidane,2004–05,2004,Real Madrid,29,6,40,6,7,4,Prime
Zinedine Zidane,2005–06,2005,Real Madrid,29,9,38,9,5,2,Veteran
