appearance_id,game_id,player_id,player_club_id,player_current_club_id,date,player_name,competition_id,yellow_cards,red_cards,goals,assists,minutes_played
2244378_7600,2244378,7600,131,131,2012-08-19,Andrés Iniesta,ES1,0,0,0,1,32
2244388_7600,2244388,7600,131,131,2012-08-22,Andrés Iniesta,SUC,0,0,0,2,90
2242828_7600,2242828,7600,131,131,2012-08-26,Andrés Iniesta,ES1,0,0,0,0,70
2244389_7600,2244389,7600,131,131,2012-08-29,Andrés Iniesta,SUC,0,0,0,0,90
2242881_7600,2242881,7600,131,131,2012-09-02,Andrés Iniesta,ES1,0,0,0,0,27
2262168_7600,2262168,7600,131,131,2012-10-02,Andrés Iniesta,CL,0,0,0,0,18
2242853_7600,2242853,7600,131,131,2012-10-07,Andrés Iniesta,ES1,0,0,0,0,90
2242855_7600,2242855,7600,131,131,2012-10-20,Andrés Iniesta,ES1,1,0,0,0,90
2262184_7600,2262184,7600,131,131,2012-10-23,Andrés Iniesta,CL,0,0,1,0,90
2269535_7600,2269535,7600,131,131,2012-10-30,Andrés Iniesta,CDR,0,0,1,1,75
2242884_7600,2242884,7600,131,131,2012-11-03,Andrés Iniesta,ES1,0,0,0,1,90
2262207_7600,2262207,7600,131,131,2012-11-07,Andrés Iniesta,CL,0,0,0,0,90
2243009_7600,2243009,7600,131,131,2012-11-17,Andrés Iniesta,ES1,0,0,0,0,90
2262211_7600,2262211,7600,131,131,2012-11-20,Andrés Iniesta,CL,0,0,0,0,90
2242996_7600,2242996,7600,131,131,2012-11-25,Andrés Iniesta,ES1,0,0,1,3,90
2243006_7600,2243006,7600,131,131,2012-12-01,Andrés Iniesta,ES1,0,0,0,1,74
2243019_7600,2243019,7600,131,131,2012-12-09,Andrés Iniesta,ES1,0,0,0,2,90
2243035_7600,2243035,7600,131,131,2012-12-16,Andrés Iniesta,ES1,0,0,0,1,90
2243072_7600,2243072,7600,131,131,2012-12-22,Andrés Iniesta,ES1,0,0,0,1,7
2243058_7600,2243058,7600,131,131,2013-01-06,Andrés Iniesta,ES1,0,0,0,1,90
2243064_7600,2243064,7600,131,131,2013-01-13,Andrés Iniesta,ES1,0,0,0,0,90
2286541_7600,2286541,7600,131,131,2013-01-16,Andrés Iniesta,CDR,0,0,0,0,90
2243079_7600,2243079,7600,131,131,2013-01-19,Andrés Iniesta,ES1,1,0,0,1,90
2286546_7600,2286546,7600,131,131,2013-01-24,Andrés Iniesta,CDR,0,0,1,1,90
2288674_7600,2288674,7600,131,131,2013-01-30,Andrés Iniesta,CDR,0,0,0,0,90
2243099_7600,2243099,7600,131,131,2013-02-03,Andrés Iniesta,ES1,0,0,0,0,90
2243114_7600,2243114,7600,131,131,2013-02-10,Andrés Iniesta,ES1,0,0,1,1,90
2243130_7600,2243130,7600,131,131,2013-02-16,Andrés Iniesta,ES1,0,0,0,0,19
2284448_7600,2284448,7600,131,131,2013-02-20,Andrés Iniesta,CL,0,0,0,0,90
2243138_7600,2243138,7600,131,131,2013-02-23,Andrés Iniesta,ES1,0,0,0,0,69
2288676_7600,2288676,7600,131,131,2013-02-26,Andrés Iniesta,CDR,0,0,0,1,90
2243144_7600,2243144,7600,131,131,2013-03-02,Andrés Iniesta,ES1,1,0,0,0,90
