competition,count,seasons
Serie A,2,"1996-97, 1997-98"
La Liga,1,2002-03
UEFA Champions League,1,2001-02
Supercoppa Italiana,1,1997
UEFA Super Cup,1,2002
Intercontinental Cup,1,2002
Spanish Super Cup,1,2003
FIFA World Cup,1,1998
UEFA European Championship,1,2000
Ballon d'Or,1,1998
FIFA World Player of the Year,3,"1998, 2000, 2003"
World Cup Golden Ball,1,2006
UEFA Player of the Year,2,"2002, 2003"
World Soccer Player of the Year,3,"1998, 2002, 2003"
French Player of the Year,5,"1998, 1999, 2000, 2001, 2002"
Serie A Foreign Footballer of the Year,2,"1997, 2001"
FIFA FIFPro World XI,1,2005
World XI (FIFA),3,"1998, 2000, 2002"
